게임 이름,게임 가격
Counter-Strike 2,Free To Play
Apex Legends™,Free To Play
HELLDIVERS™ 2,"₩ 44,800"
PUBG: BATTLEGROUNDS,Free To Play
Steam Deck,"₩ 91,400"
Dragon's Dogma 2,Free To Play
Limbus Company,Free To Play
Warframe,"₩ 22,400"
Tom Clancy's Rainbow Six® Siege,"₩ 15,400"
EA SPORTS FC™ 24,Free To Play
Destiny 2,"₩ 69,800"
HELLDIVERS™ 2 Super Citizen Edition,"₩ 62,800"
Horizon Forbidden West™ Complete Edition,"₩ 66,000"
Baldur's Gate 3,"₩ 21,000"
Dead by Daylight,"₩ 64,800"
ELDEN RING,"₩ 14,850"
Balatro,"₩ 84,500"
Call of Duty®: Modern Warfare® III,"₩ 3,300"
Titanfall® 2,Free To Play
War Thunder,Free To Play
THE FINALS,"₩ 14,500"
Supermarket Simulator,"₩ 9,900"
Battlefield™ 2042,Free To Play
NARAKA: BLADEPOINT,Free To Play
The Sims™ 4,"₩ 44,000"
Millennia,"₩ 32,000"
SOUTH PARK: SNOW DAY!,"₩ 8,940"
Green Hell & Official Soundtrack Bundle,"₩ 16,000"
Stardew Valley,"₩ 11,000"
It Takes Two,"₩ 22,300"
Grand Theft Auto V,"₩ 22,300"
Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,"₩ 31,500"
No Man's Sky,"₩ 31,000"
Enshrouded,Free To Play
Dota 2,Free To Play
Call of Duty®: Warzone™,"₩ 46,000"
Rust,"₩ 26,800"
THE FINALS - Bank Rabbit Set,"₩ 32,000"
Palworld,"₩ 34,650"
STAR WARS Jedi: Survivor™,"₩ 8,940"
Green Hell,"₩ 22,000"
The Elder Scrolls® Online,"₩ 2,050"
Evil Genius 2: World Domination,"₩ 37,500"
Last Epoch,"₩ 26,400"
God of War,"₩ 37,680"
Marvel’s Spider-Man Remastered,"₩ 44,500"
Fallout 76,"₩ 4,400"
STAR WARS Jedi: Fallen Order™,Free To Play
Yu-Gi-Oh! Master Duel,"₩ 3,850"
Need for Speed™ Heat,"₩ 66,000"
Cyberpunk 2077,"₩ 11,000"
Lethal Company,Free To Play
World of Warships,"₩ 13,200"
Days Gone,"₩ 32,000"
Sons Of The Forest,"₩ 27,270"
GUILTY GEAR -STRIVE-,"₩ 46,400"
Banishers: Ghosts of New Eden,"₩ 79,800"
TEKKEN 8,"₩ 59,900"
Forza Horizon 5,"₩ 8,250"
Battlefield™ V,"₩ 4,500"
Wallpaper Engine,"₩ 14,500"
Backpack Battles,"₩ 55,000"
Crusader Kings III,"₩ 35,140"
STAR WARS™ Jedi Bundle,"₩ 7,560"
Necrosmith 2,Free To Play
STAR WARS™: The Old Republic™,"₩ 19,800"
ENDER MAGNOLIA: Bloom in the Mist,"₩ 69,800"
Granblue Fantasy: Relink,"₩ 42,080"
The Last of Us™ Part I,"₩ 11,600"
Living With Sister: Monochrome Fantasy,Free To Play
Yu-Gi-Oh! Duel Links,"₩ 42,000"
Myth of Empires,"₩ 7,700"
Need for Speed™ Unbound,"₩ 17,200"
Warframe: Dante Chronicles Pack,"₩ 39,400"
Sea of Thieves: 2024 Edition,"₩ 14,200"
Command & Conquer™ The Ultimate Collection,"₩ 19,350"
Bulwark: Falconeer Chronicles,"₩ 26,400"
Dead Space,"₩ 14,500"
Phasmophobia,"₩ 6,500"
Overcooked! 2,"₩ 11,000"
Inscryption,"₩ 67,800"
NBA 2K24,"₩ 29,400"
HITMAN 3,"₩ 15,600"
Slay the Princess,"₩ 5,500"
STAR WARS Jedi: Fallen Order Deluxe Edition,"₩ 5,370"
Suzerain,"₩ 37,500"
RimWorld,"₩ 36,000"
Arma 3,"₩ 26,410"
Can't Put it Down Bundle,"₩ 22,770"
The Settlers: New Allies,"₩ 33,600"
My Time at Sandrock,"₩ 9,900"
Mass Effect™ Legendary Edition,Free To Play
Team Fortress 2,Prepurchase
ELDEN RING Shadow of the Erdtree,"₩ 49,800"
Overwatch® 2,Free To Play
Cyberpunk 2077: Phantom Liberty,"₩ 34,900"
Monster Hunter: World,"₩ 34,900"
Persona 3 Reload,"₩ 79,800"
UNCHARTED™: Legacy of Thieves Collection,"₩ 26,400"
Euro Truck Simulator 2,"₩ 24,800"
