Game Name,조회수
Counter-Strike 2,147401676
Apex Legends™,48578700
HELLDIVERS™ 2,12599744
PUBG: BATTLEGROUNDS,93362909
Steam Deck,28023594
Dragon's Dogma 2,14308409
Limbus Company,4274183
Warframe,56588535
Tom Clancy's Rainbow Six® Siege,197175126
EA SPORTS FC™ 24,32962877
Destiny 2,28425460
HELLDIVERS™ 2 Super Citizen Edition,11857493
Horizon Forbidden West™ Complete Edition,35125280
Baldur's Gate 3,18239836
Dead by Daylight,51723701
ELDEN RING,67115498
Balatro,1920345
Call of Duty®: Modern Warfare® III,183520357
Titanfall® 2,53252437
War Thunder,143905309
THE FINALS,11549427
Supermarket Simulator,31323872
Battlefield™ 2042,60769181
NARAKA: BLADEPOINT,16652979
The Sims™ 4,26394335
Millennia,1752588
SOUTH PARK: SNOW DAY!,53280950
Green Hell & Official Soundtrack Bundle,66780249
Stardew Valley,24592101
